/* DATA DESCRIPTION:
Citation:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): AICC2012 chronology for ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.824865, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, https://doi.org/10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Further details:	Supplementary material to AICC2012 ice core chronology (URI: hdl:10013/epic.42823.d001)
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3192.75 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Age, standard deviation [±] (Age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age, standard deviation [±] (Gas age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Thinning function (TF) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Lock-in depth in ice equivalent [m] (LIDIE) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	11512 data points
*/
Depth ice/snow [m]	Age [ka BP]	Age std dev [±]	Gas age [ka BP]	Gas age std dev [±]	Acc rate ice per year [m/a]	TF	LIDIE [m]
0.00	-0.05500	0.02244			0.0291	0.9948	
1.65	-0.04154	0.03203			0.0291	0.9945	
3.30	-0.02047	0.06321			0.0292	0.9942	
4.95	0.00430	0.08182			0.0293	0.9941	
6.60	0.03106	0.09052			0.0290	0.9941	
8.25	0.05705	0.08825			0.0288	0.9940	
9.90	0.08504	0.08433			0.0273	0.9939	
11.55	0.11451	0.09206			0.0264	0.9938	
13.20	0.14500	0.09890			0.0267	0.9939	
14.85	0.17633	0.09986			0.0268	0.9938	
16.50	0.20754	0.10199			0.0270	0.9937	
18.15	0.23998	0.10530			0.0265	0.9935	
19.80	0.27420	0.10871			0.0261	0.9932	
21.45	0.31009	0.10328			0.0259	0.9926	
23.10	0.34664	0.11360			0.0253	0.9922	
24.75	0.38489	0.11878			0.0254	0.9919	
26.40	0.42374	0.11734			0.0263	0.9916	
28.05	0.46170	0.11686			0.0265	0.9913	
29.70	0.50020	0.12022			0.0262	0.9910	
31.35	0.53986	0.12013			0.0265	0.9907	
33.00	0.57952	0.11877			0.0274	0.9906	
34.65	0.61815	0.11779			0.0284	0.9906	
36.30	0.65580	0.13691			0.0269	0.9905	
37.95	0.69674	0.13057			0.0255	0.9904	
39.60	0.74026	0.13080			0.0256	0.9905	
41.25	0.78406	0.12254			0.0278	0.9906	
42.90	0.82480	0.13182			0.0301	0.9905	
44.55	0.86305	0.13220			0.0284	0.9903	
46.20	0.90394	0.13539			0.0267	0.9901	
47.85	0.94777	0.13937			0.0264	0.9899	
49.50	0.99256	0.13898			0.0273	0.9897	
51.15	1.03703	0.13805			0.0280	0.9894	
52.80	1.08033	0.13694			0.0274	0.9892	
54.45	1.12467	0.11888			0.0280	0.9888	
56.10	1.16943	0.12699			0.0291	0.9885	32.74
57.75	1.21213	0.14671	0.08112	0.09426	0.0292	0.9881	33.93
59.40	1.25511	0.14519	0.08586	0.09800	0.0285	0.9877	35.14
61.05	1.30031	0.14899	0.09138	0.10152	0.0284	0.9873	36.37
62.70	1.34556	0.13352	0.09577	0.10480	0.0292	0.9868	37.63
64.35	1.39030	0.13606	0.10011	0.10835	0.0298	0.9866	38.85
66.00	1.43390	0.14906	0.10507	0.11212	0.0272	0.9861	40.10
67.65	1.48274	0.13828	0.11046	0.11651	0.0276	0.9858	41.41
69.30	1.53090	0.14865	0.11369	0.12475	0.0279	0.9855	42.70
70.95	1.57887	0.14665	0.11798	0.12869	0.0278	0.9853	44.02
72.60	1.62750	0.14139	0.12144	0.13186	0.0272	0.9850	45.36
74.25	1.67780	0.14634	0.12499	0.13516	0.0276	0.9848	46.71
75.90	1.72792	0.15351	0.12815	0.13907	0.0273	0.9845	48.08
77.55	1.77858	0.15297	0.13096	0.14341	0.0275	0.9842	49.49
79.20	1.82926	0.13867	0.13292	0.14683	0.0271	0.9838	50.88
80.85	1.88137	0.15704	0.13633	0.15037	0.0284	0.9833	52.29
82.50	1.93073	0.14235	0.13876	0.15403	0.0285	0.9828	53.66
84.15	1.98074	0.15433	0.14323	0.16277	0.0279	0.9824	55.06
85.80	2.03185	0.14642	0.14647	0.16732	0.0270	0.9820	56.48
87.45	2.08497	0.17760	0.14945	0.17163	0.0282	0.9815	58.00
89.10	2.13664	0.17164	0.15021	0.17646	0.0280	0.9811	59.46
90.75	2.18870	0.14924	0.15265	0.18050	0.0270	0.9806	60.93
92.40	2.24355	0.16420	0.15541	0.18445	0.0290	0.9801	62.41
94.05	2.29452	0.16192	0.15813	0.18851	0.0286	0.9796	63.90
95.70	2.34695	0.16473	0.16101	0.19292	0.0250	0.9791	65.40
97.35	2.40706	0.16993	0.16344	0.19511	0.0262	0.9787	66.46
99.00	2.46403	0.17715	0.17857	0.21118	0.0266	0.9782	65.47
100.65	2.52086	0.18435	0.25547	0.23041	0.0283	0.9777	64.16
102.30	2.57479	0.18093	0.34857	0.23568	0.0286	0.9772	65.62
103.95	2.62803	0.17670	0.35337	0.23187	0.0293	0.9767	65.07
105.60	2.68049	0.16664	0.42635	0.24122	0.0284	0.9764	64.33
107.25	2.73489	0.17696	0.50353	0.24393	0.0291	0.9758	64.92
108.90	2.78815	0.16498	0.53832	0.24959	0.0305	0.9754	66.48
110.55	2.83865	0.16670	0.53994	0.24354	0.0314	0.9748	66.38
112.20	2.88864	0.16603	0.59752	0.25380	0.0289	0.9743	65.14
113.85	2.94297	0.17138	0.69031	0.26817	0.0288	0.9736	64.70
115.50	2.99720	0.17998	0.76305	0.23072	0.0276	0.9731	63.98
117.15	3.05425	0.19264	0.84070	0.24837	0.0286	0.9724	64.64
118.80	3.10920	0.19351	0.87091	0.25153	0.0296	0.9720	65.64
120.45	3.16277	0.19765	0.89105	0.26795	0.0284	0.9714	64.11
122.10	3.21934	0.18549	1.00109	0.26181	0.0267	0.9708	63.85
123.75	3.27995	0.18528	1.06610	0.27051	0.0275	0.9702	63.52
