/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Bigler, Matthias; Steffensen, Jørgen Peder; Hutterli, Manuel A; Fischer, Hubertus (2012): EDC dust laser signal (24-769.5 m) [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.780541, 
	In supplement to: Lambert, F et al. (2012): Centennial mineral dust variability in high-resolution ice core data from Dome C, Antarctica. Climate of the Past, 8, 609-623, https://doi.org/10.5194/cp-8-609-2012
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 24.20 m * MAXIMUM DEPTH, ice/snow: 784.99 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	The file "EDC_KPHdust_1cm.dat" contains the EPICA Dome C insoluble dust measured with the Copenhavn laser sensor on a depth and EDC3 age scale. Below 769.5m depth insoluble dust was measured with the Bern sensor, data available in the file "EDC_CaDustConc_1cm.dat".
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Signal [V] (Signal) * PI: Lambert, Fabrice (https://orcid.org/0000-0002-2192-024X, ambert@uc.c) * COMMENT: of dust laser
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	44031 data points
*/
Age [ka BP]	Depth ice/snow [m]	Signal [V]
0.370901	24.20	0.0583
0.371119	24.21	0.0866
0.371337	24.22	0.0566
0.371554	24.23	0.0551
0.371772	24.24	0.0680
0.371990	24.25	0.0558
0.372207	24.26	0.0664
0.372425	24.27	0.0561
0.372643	24.28	0.0550
0.372860	24.29	0.0625
0.373078	24.30	0.0650
0.373296	24.31	0.0565
0.373513	24.32	0.0620
0.373731	24.33	0.0614
0.373949	24.34	0.0614
0.374167	24.35	0.0609
0.374384	24.36	0.0797
0.374602	24.37	0.0611
0.374820	24.38	0.0684
0.375037	24.39	0.0673
0.375255	24.40	0.0677
0.375473	24.41	0.0728
0.375690	24.42	0.0633
0.375908	24.43	0.0614
0.376126	24.44	0.0600
0.376344	24.45	0.0675
0.376561	24.46	0.0631
0.376779	24.47	0.0804
0.376997	24.48	0.0675
0.377214	24.49	0.0606
0.377432	24.50	0.0671
0.377650	24.51	0.0630
0.377867	24.52	0.0629
0.378085	24.53	0.0650
0.378303	24.54	0.0639
0.378520	24.55	0.0588
0.378738	24.56	0.0600
0.378956	24.57	0.0549
0.379174	24.58	0.0559
0.379391	24.59	0.0596
0.379609	24.60	0.0571
0.379827	24.61	0.0553
0.380044	24.62	0.0530
0.380262	24.63	0.0516
0.380480	24.64	0.0511
0.380697	24.65	0.0584
0.380915	24.66	0.0644
0.381133	24.67	0.0726
0.381350	24.68	0.0723
0.381568	24.69	0.0742
0.381786	24.70	0.0652
0.382004	24.71	0.0721
0.382221	24.72	0.0605
0.382439	24.73	0.0612
0.382657	24.74	0.0610
0.382874	24.75	0.0623
0.383098	24.76	0.0618
0.383322	24.77	0.0576
0.383546	24.78	0.0592
0.383770	24.79	0.0649
0.383994	24.80	0.0578
0.384217	24.81	0.0538
0.384441	24.82	0.0493
0.384665	24.83	0.0548
0.384889	24.84	0.0574
0.385113	24.85	0.0554
0.385337	24.86	0.0603
0.385560	24.87	0.0612
0.385784	24.88	0.0731
0.386008	24.89	0.0621
0.386232	24.90	0.0639
0.386456	24.91	0.0697
0.386680	24.92	0.0646
0.386903	24.93	0.0762
0.387127	24.94	0.0839
0.387351	24.95	0.1038
0.387575	24.96	0.1028
0.387799	24.97	0.1039
0.388023	24.98	0.0880
0.388247	24.99	0.0978
0.388470	25.00	0.0926
0.388694	25.01	0.0945
0.388918	25.02	0.0765
0.389142	25.03	0.0755
0.389366	25.04	0.0670
0.389590	25.05	0.0675
0.389813	25.06	0.0749
0.390037	25.07	0.0698
0.390261	25.08	0.0701
0.390485	25.09	0.0753
0.390709	25.10	0.0769
0.390933	25.11	0.0804
0.391156	25.12	0.0733
0.391380	25.13	0.0740
0.391604	25.14	0.0829
0.391828	25.15	0.0723
