/* DATA DESCRIPTION:
Citation:	Augustin, Laurent; Barbante, Carlo; Barnes, Piers R F; Barnola, Jean-Marc; Bigler, Matthias; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Delmonte, Barbara; Dreyfus, Gabrielle; Durand, Gael; Falourd, Sonia; Fischer, Hubertus; Flückiger, Jacqueline; Hansson, Margareta E; Huybrechts, Philippe; Jugie, Gérard; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaufmann, Patrik R; Kipfstuhl, Sepp; Lambert, Fabrice; Lipenkov, Vladimir Ya; Littot, Geneviève C; Longinelli, Antonio; Lorrain, Reginald D; Maggi, Valter; Masson-Delmotte, Valerie; Miller, Heinz; Mulvaney, Robert; Oerlemans, Johannes; Oerter, Hans; Orombelli, Giuseppe; Parrenin, Frédéric; Peel, David A; Petit, Jean Robert; Raynaud, Dominique; Ritz, Catherine; Ruth, Urs; Schwander, Jakob; Siegenthaler, Urs; Souchez, Roland A; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tabacco, Ignazio; Udisti, Roberto; van de Wal, Roderik S W; van den Broeke, Michiel R; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric William; Zucchelli, Mario (2004): Dome C age scale EDC2 for ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.198749, 
	In supplement to: Augustin, L et al. (2004): Eight glacial cycles from an Antarctic ice core. Nature, 429(6992), 623-628, https://doi.org/10.1038/nature02599
Further details:	Documentation of EPICA Dome C. hdl:10013/epic.32364.d001
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0 m * MAXIMUM DEPTH, ice/snow: 3190 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	EDC2 timescale, adopted by SC December 2003. EDC2 was recommended for all EPICA papers below 800 m until EDC3 was adopted. Matches EDC1 (doi:10.1594/PANGAEA.198748) at 800 m in ice scale. EDC1 was recommended above 800 m. However, the new timescale EDC3 (doi:10.1594/PANGAEA.671367) has been recommended since mid 2007, and supersedes both EDC1 and EDC2 which are now only shown for reference, to enable those using older papers to understand what was used.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Schwander, Jakob (schwander@climate.unibe.ch) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC2 time scale
	Gas age [ka BP] (Gas age) * PI: Schwander, Jakob (schwander@climate.unibe.ch) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC2 time scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	6281 data points
*/
Depth ice/snow [m]	Age model [ka]	Gas age [ka BP]
0	-0.047	
1	-0.035	
2	-0.023	
3	-0.011	
4	0.002	
5	0.015	
6	0.029	
7	0.044	
8	0.060	
9	0.075	
10	0.093	
11	0.113	
12	0.131	
13	0.150	
14	0.169	
15	0.189	
16	0.209	
17	0.232	
18	0.253	
19	0.273	
20	0.292	
21	0.312	
22	0.333	
23	0.354	
24	0.375	
25	0.397	
26	0.420	
27	0.442	
28	0.465	
29	0.488	
30	0.511	
31	0.536	
32	0.561	
33	0.583	
34	0.606	
35	0.630	
36	0.653	
37	0.674	
38	0.698	
39	0.722	
40	0.746	
41	0.771	
42	0.796	
43	0.820	
44	0.843	
45	0.864	
46	0.888	
47	0.915	
48	0.941	
49	0.966	
50	0.991	
51	1.017	
52	1.044	
53	1.070	
54	1.095	
55	1.120	
56	1.146	
57	1.173	
58	1.198	
59	1.222	
60	1.248	
61	1.275	
62	1.301	
63	1.326	
64	1.350	
65	1.375	
66	1.401	
67	1.428	
68	1.457	
69	1.484	
70	1.512	
71	1.541	
72	1.570	
73	1.597	
74	1.626	
75	1.654	
76	1.682	
77	1.712	
78	1.742	
79	1.771	
80	1.801	
81	1.834	
82	1.864	
83	1.894	
84	1.923	
85	1.954	
86	1.986	
87	2.018	
88	2.050	
89	2.080	
90	2.111	
91	2.143	
92	2.176	
93	2.210	
94	2.242	
95	2.273	
96	2.305	
97	2.339	
98	2.374	
99	2.409	
100	2.445	
101	2.479	0.085
102	2.513	0.128
103	2.545	0.162
104	2.578	0.190
105	2.612	0.218
106	2.645	0.262
107	2.678	0.291
108	2.711	0.323
109	2.743	0.366
110	2.774	0.407
111	2.804	0.434
112	2.834	0.480
113	2.863	0.513
114	2.894	0.527
115	2.927	0.563
116	2.959	0.603
117	2.991	0.627
118	3.025	0.660
119	3.058	0.695
120	3.090	0.733
121	3.120	0.774
122	3.152	0.781
123	3.187	0.817
124	3.222	0.852
125	3.256	0.891
126	3.289	0.918
127	3.323	0.961
128	3.356	0.978
129	3.391	1.023
130	3.423	1.057
131	3.455	1.093
132	3.486	1.121
133	3.519	1.150
134	3.552	1.181
135	3.584	1.224
136	3.615	1.250
137	3.646	1.286
138	3.678	1.310
139	3.710	1.347
140	3.740	1.388
141	3.772	1.407
142	3.807	1.429
143	3.842	1.477
144	3.875	1.508
145	3.909	1.541
146	3.944	1.570
147	3.979	1.611
148	4.014	1.637
149	4.048	1.683
150	4.082	1.710
151	4.117	1.749
152	4.154	1.768
153	4.189	1.833
154	4.221	1.860
155	4.256	1.886
156	4.291	1.930
157	4.325	1.966
158	4.359	1.994
159	4.393	2.047
160	4.425	2.075
161	4.461	2.100
162	4.498	2.132
163	4.534	2.185
164	4.568	2.213
165	4.604	2.250
166	4.639	2.295
167	4.675	2.319
168	4.712	2.363
169	4.748	2.394
170	4.784	2.440
171	4.818	2.479
172	4.852	2.511
173	4.886	2.551
174	4.921	2.577
175	4.958	2.611
176	4.995	2.646
177	5.031	2.685
178	5.066	2.722
179	5.099	2.763
180	5.133	2.784
181	5.171	2.809
182	5.208	2.856
183	5.243	2.895
184	5.279	2.927
185	5.314	2.971
186	5.350	2.992
187	5.388	3.032
188	5.427	3.060
189	5.465	3.106
190	5.500	3.162
191	5.534	3.184
192	5.570	3.219
193	5.607	3.253
194	5.643	3.301
195	5.676	3.343
196	5.710	3.371
197	5.746	3.396
198	5.782	3.441
199	5.817	3.475
200	5.854	3.499
201	5.893	3.530
202	5.930	3.579
203	5.966	3.610
204	6.003	3.644
205	6.039	3.688
206	6.074	3.729
207	6.109	3.754
208	6.146	3.799
209	6.182	3.830
210	6.219	3.873
211	6.256	3.901
212	6.294	3.945
213	6.332	3.974
214	6.370	4.026
215	6.406	4.056
216	6.443	4.098
217	6.480	4.133
218	6.517	4.166
219	6.556	4.201
220	6.597	4.226
221	6.636	4.286
222	6.672	4.316
223	6.711	4.347
224	6.751	4.383
225	6.788	4.438
226	6.823	4.476
227	6.859	4.509
