/* DATA DESCRIPTION:
Citation:	Fischer, Hubertus; Fundel, Felix; Ruth, Urs; Twarloh, Birthe; Wegner, Anna; Udisti, Roberto; Becagli, Silvia; Castellano, Emiliano; Morganti, Andrea; Severi, Mirko; Wolff, Eric William; Littot, Geneviève C; Röthlisberger, Regine; Mulvaney, Robert; Hutterli, Manuel A; Kaufmann, Patrik R; Federer, Urs; Lambert, Fabrice; Bigler, Christian; Hansson, Margareta E; Jonsell, Ulf; de Angelis, Martine; Boutron, Claude F; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Barbante, Carlo; Gaspari, Vania; Gabrielli, Paolo; Wagenbach, Dietmar (2007): EPICA Dome C chemical concentrations and fluxes [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.683641, 
	In supplement to: Fischer, Hubertus; Fundel, Felix; Ruth, Urs; Twarloh, Birthe; Wegner, Anna; Udisti, Roberto; Becagli, Silvia; Castellano, Emiliano; Morganti, Andrea; Severi, Mirko; Wolff, Eric William; Littot, Geneviève C; Röthlisberger, Regine; Mulvaney, Robert; Hutterli, Manuel A; Kaufmann, Patrik R; Federer, Urs; Lambert, Fabrice; Bigler, Matthias; Hansson, Margareta E; Jonsell, Ulf; de Angelis, Martine; Boutron, Claude F; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Barbante, Carlo; Gaspari, Vania; Gabrielli, Paolo; Wagenbach, Dietmar (2007): Reconstruction of millennial changes in dust emission, transport and regional sea ice coverage using the deep EPICA ice cores from the Atlantic and Indian Ocean sector of Antarctica. Earth and Planetary Science Letters, 260(1-2), 340-354, https://doi.org/10.1016/j.epsl.2007.06.014
Related to:	Fischer, Hubertus; Fundel, Felix; Ruth, Urs; Twarloh, Birthe; Wegner, Anna; Udisti, Roberto; Becagli, Silvia; Castellano, Emiliano; Morganti, Andrea; Severi, Mirko; Wolff, Eric William; Littot, Geneviève C; Röthlisberger, Regine; Mulvaney, Robert; Hutterli, Manuel A; Kaufmann, Patrik R; Federer, Urs; Lambert, Fabrice; Bigler, Matthias; Hansson, Margareta E; Jonsell, Ulf; de Angelis, Martine; Boutron, Claude F; Siggaard-Andersen, Marie-Louise; Steffensen, Jørgen Peder; Barbante, Carlo; Gaspari, Vania; Gabrielli, Paolo; Wagenbach, Dietmar (2007): Erratum to "Reconstruction of millennial changes in dust emission, transport and regional sea ice coverage using the deep EPICA ice cores from the Atlantic and Indian Ocean sector of Antarctica" [Earth Planet. Sci. Lett. 260 (2007) 340–354]. Earth and Planetary Science Letters, 262(3-4), 635-636, https://doi.org/10.1016/j.epsl.2007.08.016
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 24.5 m * MAXIMUM DEPTH, ice/snow: 1841.5 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Sea salt Na+ and nss Ca2+ data from the EPICA Dome C (EDC) ice core over the last 150000 yr in 1 m resolution (revised version). Data has been calculated from raw data as described in the manuscript. Negative concentrations after correcting for crustal sodium and sea salt calcium, respectively, have been replaced by zeros. Missing values occur due to sample loss, bad core quality or contamination during sample preparation.
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	Sodium, sea-salt [µg/kg] (ssNa+) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Ion chromatography
	Calcium, non-sea-salt [µg/kg] (nssCa2+) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Continuous flow analysis, Ion chromatography
	Sodium, sea-salt, flux [µg/m**2/a] (ssNa flux) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Calculated
	Calcium, non-sea-salt, flux [µg/m**2/a] (nssCa2+ flux) * PI: Fischer, Hubertus (https://orcid.org/0000-0002-2787-4221, hubertus.fischer@climate.unibe.ch, http://www.climate.unibe.ch/?L1=people&L2=personal&L3=hfischer) * METHOD/DEVICE: Calculated
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	8558 data points
*/
Depth ice/snow [m]	Age model [ka]	ssNa+ [µg/kg]	nssCa2+ [µg/kg]	ssNa flux [µg/m**2/a]	nssCa2+ flux [µg/m**2/a]
24.5	0.37743	22.49	0.64	552.4	15.8
25.5	0.39965	28.31	0.29	705.1	7.2
26.5	0.42087	31.78	0.25	829.7	6.6
27.5	0.44241	27.02	0.64	704.6	16.6
28.5	0.46394	27.04	0.56	704.8	14.7
29.5	0.48597	24.57	0.75	633.6	19.3
30.5	0.50878	26.66	0.47	669.1	11.9
31.5	0.53227	21.98	0.74	539.8	18.1
32.5	0.55610	20.87	0.59	518.2	14.8
33.5	0.57943	21.79	0.53	547.8	13.4
34.5	0.60294	28.51	0.46	718.2	11.6
35.5	0.62633	21.77	0.74	558.7	19.0
36.5	0.64981	23.89	0.70	607.3	17.7
37.5	0.67477	21.29	1.34	503.4	31.8
38.5	0.70068	23.36	0.63	552.9	14.9
39.5	0.72669	35.36	0.58	825.3	13.6
40.5	0.75347	23.33	1.17	558.6	28.1
41.5	0.77851	23.57	1.24	609.1	32.0
42.5	0.80256	16.84	1.37	444.0	36.2
43.5	0.82593	23.31	1.44	660.9	40.9
44.5	0.84826	24.21	1.02	692.8	29.1
45.5	0.87171	27.57	0.91	723.5	23.8
46.5	0.89677	20.48	1.01	523.8	25.9
47.5	0.92266	23.77	0.76	591.5	18.9
48.5	0.94957	23.94	0.88	591.6	21.8
49.5	0.97576	23.60	0.67	603.8	17.1
50.5	1.00193	21.71	0.92	561.1	23.9
51.5	1.02744	19.08	1.43	505.2	37.8
52.5	1.05299	24.27	0.95	642.9	25.3
53.5	1.07869	22.24	0.85	578.1	22.1
54.5	1.10502	26.62	0.71	695.9	18.7
55.5	1.13133	31.39	0.61	843.4	16.3
56.5	1.15707	27.95	0.83	764.7	22.6
57.5	1.18188	23.04	0.71	653.3	20.3
58.5	1.20642	21.32	0.86	598.2	24.3
59.5	1.23192	22.30	1.53	608.4	41.6
60.5	1.25822	23.71	0.99	645.2	27.1
61.5	1.28436	33.46	0.44	906.9	11.9
62.5	1.31072	18.44	0.89	509.3	24.7
63.5	1.33693	20.37	0.90	571.0	25.1
64.5	1.36244	24.78	0.94	703.2	26.8
65.5	1.38789	28.77	0.89	821.1	25.3
66.5	1.41453	20.83	1.01	546.4	26.5
67.5	1.44353	25.21	0.93	648.9	23.9
68.5	1.47170	23.32	0.76	615.0	19.9
69.5	1.49984	23.82	0.83	630.9	21.9
70.5	1.52789	32.44	0.42	861.9	11.1
71.5	1.55634	17.05	0.83	449.1	21.9
72.5	1.58510	22.72	0.79	593.8	20.5
73.5	1.61458	17.19	0.93	438.7	23.6
74.5	1.64479	21.43	0.69	546.2	17.6
75.5	1.67450	17.97	0.96	465.9	24.8
76.5	1.70385	21.46	0.96	545.4	24.5
77.5	1.73541	21.19	0.50	528.5	12.5
78.5	1.76612	23.37	0.33	595.5	8.3
79.5	1.79658	17.51	1.12	443.2	28.2
80.5	1.82829	21.82	1.23	540.4	30.6
81.5	1.85942	22.17	1.31	577.3	34.0
82.5	1.88899	23.68	1.64	631.9	43.7
83.5	1.91900	28.35	0.61	736.8	15.9
84.5	1.94922	19.29	1.05	497.4	27.1
85.5	1.98060	44.65	0.00	1135.7	0.0
86.5	2.01223	20.85	1.29	517.7	32.1
87.5	2.04510	28.51	0.86	709.4	21.3
88.5	2.07654	19.09	0.90	500.7	23.7
89.5	2.10781	23.34	1.44	602.9	37.3
90.5	2.13934	21.21	1.30	538.8	33.1
91.5	2.17211	23.59	0.78	582.4	19.3
92.5	2.20540	20.11	0.95	515.2	24.3
93.5	2.23656	21.65	0.76	578.6	20.2
94.5	2.26769	21.55	0.93	565.5	24.3
95.5	2.29994	23.75	1.11	596.3	27.8
96.5	2.33583	34.64	0.70	788.7	16.0
97.5	2.37174	20.22	0.95	480.1	22.5
98.5	2.40629	27.30	0.79	653.0	18.9
99.5	2.44133	21.08	0.78	505.5	18.8
100.5	2.47588	24.67	0.50	615.1	12.4
101.5	2.50955	20.36	0.66	526.7	17.1
102.5	2.54155	20.77	0.86	550.1	22.9
103.5	2.57414	20.16	0.49	522.4	12.6
104.5	2.60720	21.01	0.35	556.1	9.4
105.5	2.63867	28.45	0.00	773.6	0.0
106.5	2.67116	23.75	0.11	607.7	2.9
107.5	2.70490	29.23	0.06	756.2	1.6
108.5	2.73750	18.86	0.68	507.1	18.2
109.5	2.76898	24.84	0.30	687.6	8.2
110.5	2.79989	19.14	0.21	538.3	5.9
111.5	2.83054	17.37	0.34	498.1	9.8
112.5	2.86164	16.29	0.48	442.8	13.0
113.5	2.89463	21.90	0.43	567.5	11.1
114.5	2.92762	24.14	0.37	632.6	9.8
115.5	2.96121	22.07	0.53	565.2	13.5
116.5	2.99619	23.64	0.40	593.3	10.1
117.5	3.03057	22.11	0.33	568.8	8.5
118.5	3.06424	24.08	0.19	635.9	5.0
119.5	3.09702	21.24	0.41	570.8	11.0
120.5	3.13016	20.55	0.34	553.6	9.1
121.5	3.16359	18.55	1.59	470.3	40.3
122.5	3.20088	25.93	0.67	625.4	16.2
123.5	3.23773	25.32	0.50	619.3	12.2
124.5	3.27430	19.99	1.13	500.1	28.2
125.5	3.31009	19.51	1.57	494.7	39.8
126.5	3.34550	22.09	0.83	564.1	21.3
127.5	3.38148	25.35	1.00	625.5	24.6
128.5	3.41818	17.81	1.17	447.4	29.5
129.5	3.45412	20.49	0.61	523.6	15.7
130.5	3.48905	20.02	0.52	521.7	13.6
131.5	3.52373	28.89	0.34	774.6	9.0
132.5	3.55739	21.90	0.80	583.6	21.2
133.5	3.59285	21.51	0.95	553.7	24.5
134.5	3.62758	15.53	0.84	425.6	23.1
135.5	3.66045	19.24	0.25	532.6	6.9
136.5	3.69397	19.24	0.15	528.3	4.2
137.5	3.72710	20.98	0.51	582.5	14.1
138.5	3.76028	21.13	0.69	575.8	18.9
139.5	3.79524	19.33	0.83	504.6	21.6
140.5	3.83070	22.16	0.30	569.5	7.6
141.5	3.86664	23.02	0.56	596.6	14.6
142.5	3.90223	22.35	0.41	585.4	10.7
143.5	3.93806	22.06	0.45	561.1	11.5
144.5	3.97430	21.37	0.61	550.8	15.6
145.5	4.01019	20.63	0.56	541.0	14.6
146.5	4.04479	20.65	0.62	555.9	16.8
147.5	4.07961	21.81	0.66	581.2	17.7
148.5	4.11476	17.20	0.64	453.7	17.0
149.5	4.15010	18.67	0.89	488.1	23.4
150.5	4.18574	17.22	0.68	452.9	17.9
151.5	4.22103	18.71	0.64	502.5	17.3
152.5	4.25545	17.07	1.05	465.3	28.7
153.5	4.28977	20.03	0.77	545.8	20.9
154.5	4.32460	18.99	0.57	492.4	14.8
155.5	4.36155	17.56	0.53	450.6	13.7
156.5	4.39719	17.74	0.90	469.8	23.8
157.5	4.43269	20.53	0.63	537.5	16.6
158.5	4.46841	23.64	0.11	636.2	3.1
159.5	4.50265	18.39	0.32	508.5	8.8
160.5	4.53811	25.80	0.32	653.7	8.0
161.5	4.57496	22.57	0.51	583.2	13.1
162.5	4.61105	19.44	0.46	509.3	12.0
163.5	4.64696	21.00	0.55	552.0	14.4
164.5	4.68278	21.35	0.48	557.5	12.5
165.5	4.71908	17.36	0.38	454.3	9.9
166.5	4.75484	22.74	0.10	592.6	2.6
167.5	4.79180	18.64	0.31	473.3	7.8
168.5	4.82905	21.34	0.40	539.8	10.0
169.5	4.86625	17.91	0.46	468.4	12.1
170.5	4.90140	21.16	0.00	577.6	0.1
171.5	4.93570	19.90	1.04	547.6	28.6
172.5	4.97053	18.15	1.02	484.1	27.1
173.5	5.00660	19.88	1.02	519.1	26.6
174.5	5.04263	16.36	0.95	430.5	25.0
175.5	5.07898	20.18	0.94	522.5	24.5
176.5	5.11580	15.14	1.28	400.8	34.0
177.5	5.15073	17.92	1.04	490.1	28.5
178.5	5.18495	13.76	1.12	382.6	31.1
179.5	5.21961	19.25	1.24	508.5	32.7
180.5	5.25671	18.15	0.96	468.5	24.8
181.5	5.29275	16.96	0.84	454.1	22.5
182.5	5.32799	18.22	0.93	496.3	25.4
183.5	5.36288	20.61	0.87	559.6	23.6
184.5	5.39808	18.39	0.68	485.9	17.9
185.5	5.43637	20.15	0.90	479.3	21.5
186.5	5.47602	21.95	0.92	543.7	22.7
187.5	5.51417	19.52	0.95	473.0	23.1
188.5	5.55462	20.67	0.63	518.8	15.8
189.5	5.58957	18.20	0.69	510.0	19.3
190.5	5.62431	18.45	0.73	493.2	19.4
191.5	5.66050	19.09	0.99	502.7	26.2
192.5	5.69682	16.95	1.07	447.1	28.3
193.5	5.73275	20.29	0.87	542.2	23.2
194.5	5.76779	15.24	0.93	429.2	26.2
195.5	5.80139	20.38	0.69	575.6	19.5
196.5	5.83576	17.82	1.01	494.8	28.0
197.5	5.86980	17.55	1.19	498.3	33.7
198.5	5.90347				
199.5	5.94059				
200.5	5.97890	21.51	0.40	541.5	10.0
