/* DATA DESCRIPTION:
Citation:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2009): (Supplement 2) EDC gas chronologies for the different scenarios 1 to 4 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.711012
Related to:	Loulergue, Laetitia; Parrenin, Frédéric; Blunier, Thomas; Barnola, Jean-Marc; Spahni, Renato; Schilt, Adrian; Raisbeck, Grant M; Chappellaz, Jérôme A (2007): New constraints on the gas age-ice age difference along the EPICA ice cores, 0-50 kyr. Climate of the Past, 3, 527-540, https://doi.org/10.5194/cp-3-527-2007
	Parrenin, Frédéric; Barnola, Jean-Marc; Beer, Jürg; Blunier, Thomas; Castellano, Emiliano; Chappellaz, Jérôme A; Dreyfus, Gabrielle; Fischer, Hubertus; Fujita, Shuji; Jouzel, Jean; Kawamura, Kenji; Lemieux-Dudon, Bénédicte; Loulergue, Laetitia; Masson-Delmotte, Valerie; Narcisi, Biancamaria; Petit, Jean Robert; Raisbeck, Grant M; Raynaud, Dominique; Ruth, Urs; Schwander, Jakob; Severi, Mirko; Spahni, Renato; Steffensen, Jørgen Peder; Svensson, Anders M; Udisti, Roberto; Waelbroeck, Claire; Wolff, Eric William (2007): The EDC3 chronology for the EPICA Dome C ice core. Climate of the Past, 3, 485-497, https://doi.org/10.5194/cp-3-485-2007
Other version:	Zip archive of supplements [dataset]. https://cp.copernicus.org/articles/3/527/2007/cp-3-527-2007-supplement.zip
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 96.25 m * MAXIMUM DEPTH, ice/snow: 3256.55 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Comment:	Scenario 4 is defined as the EDC3_gas_a age scale, official gas chronology for EDC that can be used for the moment, waiting on a better one. Ice chronology is EDC3 (Parrenin et al., Climate of the Past, 3, 485-497, 2007).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Parrenin, Frédéric (https://orcid.org/0000-0002-9489-3991, frederic.parrenin@univ-grenoble-alpes.fr) * COMMENT: based on EDC3 time scale
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 1
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 2
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 3
	Gas age [ka BP] (Gas age) * PI: Loulergue, Laetitia * COMMENT: Scenario 4, EDC3_gas_a age scale
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	28722 data points
*/
Depth ice/snow [m]	Age model [ka] (based on EDC3 time scale)	Gas age [ka BP] (Scenario 1)	Gas age [ka BP] (Scenario 2)	Gas age [ka BP] (Scenario 3)	Gas age [ka BP] (Scenario 4, EDC3_gas_a age scale)
96.25	2.327			-0.002	
96.80	2.347			0.020	
97.35	2.367			0.039	
97.90	2.385			0.056	
98.45	2.405		-0.002	0.075	-0.015
99.00	2.424	-0.001	0.017	0.096	0.001
99.55	2.443	0.018	0.037	0.115	0.021
100.10	2.463	0.038	0.057	0.134	0.042
100.65	2.481	0.059	0.077	0.153	0.062
101.20	2.500	0.080	0.097	0.174	0.082
101.75	2.518	0.100	0.118	0.195	0.102
102.30	2.535	0.118	0.136	0.214	0.120
102.85	2.553	0.135	0.153	0.233	0.137
103.40	2.571	0.151	0.169	0.247	0.153
103.95	2.589	0.166	0.184	0.260	0.167
104.50	2.607	0.192	0.209	0.285	0.192
105.05	2.625	0.216	0.233	0.310	0.217
105.60	2.642	0.229	0.246	0.322	0.230
106.15	2.659	0.243	0.261	0.336	0.244
106.70	2.678	0.261	0.279	0.356	0.262
107.25	2.697	0.281	0.298	0.378	0.281
107.80	2.715	0.302	0.319	0.401	0.302
108.35	2.733	0.325	0.342	0.425	0.324
108.90	2.750	0.348	0.365	0.448	0.349
109.45	2.767	0.368	0.385	0.468	0.369
110.00	2.784	0.387	0.403	0.487	0.387
110.55	2.801	0.408	0.423	0.508	0.407
111.10	2.818	0.427	0.443	0.528	0.426
111.65	2.835	0.445	0.461	0.545	0.444
112.20	2.852	0.461	0.477	0.560	0.460
112.75	2.870	0.473	0.489	0.574	0.472
113.30	2.888	0.487	0.505	0.591	0.486
113.85	2.906	0.504	0.522	0.610	0.502
114.40	2.924	0.524	0.542	0.630	0.523
114.95	2.943	0.547	0.564	0.651	0.545
115.50	2.961	0.561	0.578	0.664	0.559
116.05	2.980	0.575	0.593	0.677	0.573
116.60	3.000	0.597	0.614	0.699	0.595
117.15	3.019	0.618	0.635	0.721	0.617
117.70	3.037	0.639	0.656	0.742	0.638
118.25	3.056	0.660	0.677	0.762	0.659
118.80	3.074	0.680	0.696	0.780	0.679
119.35	3.092	0.701	0.716	0.799	0.700
119.90	3.110	0.723	0.738	0.819	0.723
120.45	3.129	0.733	0.749	0.831	0.732
121.00	3.147	0.741	0.759	0.841	0.737
121.55	3.165	0.758	0.775	0.858	0.755
122.10	3.186	0.777	0.794	0.878	0.776
122.65	3.207	0.801	0.818	0.902	0.801
123.20	3.227	0.821	0.838	0.922	0.823
123.75	3.247	0.839	0.856	0.940	0.840
124.30	3.267	0.858	0.875	0.958	0.859
124.85	3.287	0.876	0.894	0.975	0.878
125.40	3.307	0.900	0.917	0.997	0.903
125.95	3.326	0.925	0.941	1.021	0.930
126.50	3.346	0.937	0.953	1.034	0.941
127.05	3.365	0.948	0.965	1.047	0.952
127.60	3.385	0.972	0.989	1.070	0.977
128.15	3.405	0.995	1.011	1.092	1.001
128.70	3.425	1.014	1.030	1.110	1.020
129.25	3.445	1.034	1.050	1.128	1.040
129.80	3.465	1.055	1.071	1.149	1.063
130.35	3.484	1.072	1.088	1.167	1.080
130.90	3.503	1.089	1.105	1.185	1.094
131.45	3.522	1.109	1.125	1.205	1.115
132.00	3.541	1.131	1.147	1.224	1.136
132.55	3.559	1.148	1.164	1.243	1.154
133.10	3.578	1.167	1.183	1.262	1.173
133.65	3.598	1.188	1.204	1.281	1.195
134.20	3.618	1.209	1.225	1.300	1.215
134.75	3.636	1.228	1.244	1.319	1.234
135.30	3.654	1.248	1.263	1.339	1.253
135.85	3.672	1.267	1.282	1.359	1.272
136.40	3.691	1.282	1.298	1.376	1.285
136.95	3.709	1.293	1.311	1.390	1.295
137.50	3.727	1.321	1.338	1.416	1.322
138.05	3.746	1.348	1.364	1.442	1.351
138.60	3.764	1.362	1.379	1.456	1.365
139.15	3.783	1.378	1.395	1.472	1.382
139.70	3.802	1.397	1.414	1.490	1.400
140.25	3.822	1.414	1.431	1.508	1.417
140.80	3.842	1.429	1.448	1.527	1.433
141.35	3.861	1.452	1.470	1.548	1.455
141.90	3.881	1.478	1.495	1.570	1.482
142.45	3.900	1.495	1.512	1.586	1.499
143.00	3.920	1.508	1.526	1.599	1.513
143.55	3.940	1.529	1.548	1.621	1.533
144.10	3.960	1.550	1.569	1.644	1.554
